internal_id,bartlett_id,common_name,genus,latitude,longitude,color_code
490,809710,Falsecypress-Hinoki,Chamaecyparis,41.686071175,-73.897741793,009b04
494,809714,Hornbeam-American,Carpinus,41.686030959,-73.897776508,009b04
496,809716,Hornbeam-American,Carpinus,41.685981124,-73.897738730,ffff00
502,809722,Cedar-Atlas,Cedrus,41.685951178,-73.897767344,009b04
505,809725,Cedar-Atlas,Cedrus,41.685894569,-73.897765319,009b04
506,809726,Falsecypress-Hinoki,Chamaecyparis,41.685896225,-73.897757557,009b04
508,809728,Pine-Eastern White,Pinus,41.686928659,-73.897423545,009b04
514,809734,Juniper-Eastern Redcedar,Juniperus,41.687583604,-73.897520002,009b04
515,809735,Yew-English,Taxus,41.687604650,-73.897555644,009b04
535,810180,Crabapple,Malus,41.687618516,-73.896010117,009b04
550,810196,Maple-Hedge,Acer,41.687157483,-73.896109336,009b04
554,810200,Fir-Fraser,Abies,41.686872311,-73.896447551,009b04
558,810204,Pine-Eastern White,Pinus,41.686812243,-73.897068421,009b04
560,810206,Spruce-Norway,Picea,41.686566282,-73.896739737,009b04
568,810214,Honeylocust-Thornless Common,Gleditsia,41.686083131,-73.896258867,009b04
601,810248,Yew-English,Taxus,41.685683487,-73.896099405,009b04
604,810251,Magnolia-Star,Magnolia,41.685732105,-73.896080259,009b04
612,810259,Hemlock-Canadian,Tsuga,41.685614589,-73.895840546,009b04
624,811284,Maple-Japanese,Acer,41.685875527,-73.895715791,009b04
628,811288,Honeylocust-Thornless Common,Gleditsia,41.685654255,-73.895057132,009b04
634,811294,Oak-Pin,Quercus,41.685392288,-73.895093318,009b04
649,811309,Dogwood-Flowering,Cornus,41.685083748,-73.895514455,009b04
669,811329,Spruce-Norway,Picea,41.685243065,-73.895772028,009b04
671,811331,Spruce-Norway,Picea,41.685320408,-73.896015011,009b04
693,811353,Fir-White,Abies,41.684532356,-73.895396041,009b04
698,811358,Holly-English,Ilex,41.684425261,-73.895799515,009b04
704,811364,Oak-Pin,Quercus,41.684150418,-73.895286289,009b04
708,811368,Oak-Pin,Quercus,41.684536427,-73.897462778,009b04
710,811370,Pine-Eastern White,Pinus,41.684300516,-73.897264089,009b04
712,811372,Oak-Pin,Quercus,41.684243756,-73.897064809,009b04
714,811374,Oak-Pin,Quercus,41.684049998,-73.897255865,009b04
721,811381,Linden,Tilia,41.683760160,-73.897091191,ffff00
723,811383,Linden,Tilia,41.683526730,-73.896961862,009b04
729,812210,Yellowwood-American,Cladrastis,41.683809542,-73.896679072,009b04
732,812213,Birch-Paper,Betula,41.683677084,-73.896649903,009b04
734,812215,Hemlock-Canadian,Tsuga,41.683527356,-73.896501626,ffff00
749,812230,Hemlock-Canadian,Tsuga,41.683268465,-73.896048569,009b04
786,812263,Spruce-Norway,Picea,41.681920594,-73.895933632,009b04
789,812266,Pine-Eastern White,Pinus,41.681797465,-73.895800945,009b04
795,812272,Spruce-Norway,Picea,41.681678459,-73.895689357,009b04
798,812275,Pine-Eastern White,Pinus,41.681549482,-73.895511261,ffff00
807,812284,Spruce-Norway,Picea,41.681564220,-73.895322569,009b04
809,812286,Zelkova-Japanese,Zelkova,41.681648966,-73.895417985,009b04
820,812297,Zelkova-Japanese,Zelkova,41.681731086,-73.894956103,009b04
824,812301,Zelkova-Japanese,Zelkova,41.682107267,-73.894936115,009b04
832,812309,Oak-Northern Red,Quercus,41.682684362,-73.895617060,009b04
842,812319,Fir-White,Abies,41.682994160,-73.895702776,009b04
868,812345,Crabapple,Malus,41.682741084,-73.895099462,009b04
890,812987,Pine-Eastern White,Pinus,41.682431811,-73.893985455,009b04
896,812993,Spruce-Norway,Picea,41.682233209,-73.894167071,009b04
902,812999,Maple-Sugar,Acer,41.682194841,-73.894383225,009b04
904,813001,Spruce-Norway,Picea,41.682085989,-73.894406143,009b04
914,813011,Pine-Eastern White,Pinus,41.681712023,-73.894718389,009b04
